Iteration,x_k,f(x_k)
1,-444443.48219,-8.779092497129566e+16
2,-296295.65479,-2.6012125917289244e+16
3,-197530.43653,-7707296567997910.0
4,-131686.95769,-2283643427496409.5
5,-87791.30513,-676635089589547.9
6,-58527.53677,-200484470963483.44
7,-39018.35786,-59402806194061.04
8,-26012.2386,-17600831453345.98
9,-17341.49243,-5215061163654.442
10,-11560.99501,-1545203302611.2444
11,-7707.33008,-457838012163.0368
12,-5138.22017,-135655705023.913
13,-3425.48029,-40194281447.61262
14,-2283.65378,-11909415710.26132
15,-1522.43624,-3528715089.36502
16,-1014.95808,-1045544760.57123
17,-676.6396,-309790739.44054
18,-451.09438,-91789648.23673
19,-300.73156,-27196799.15242
20,-200.49066,-8058221.75302
21,-133.66487,-2387561.85354
22,-89.11657,-707386.12702
23,-59.42102,-209569.48015
24,-39.62898,-62077.04792
25,-26.44177,-18381.44753
26,-17.66153,-5438.50541
27,-11.8249,-1606.15402
28,-7.95916,-472.36182
29,-5.42019,-137.55593
30,-3.78525,-39.09457
31,-2.78243,-10.41153
32,-2.24088,-2.28918
33,-2.03399,-0.2789
34,-2.00083,-0.00667
35,-2.0,-0.0
36,-2.0,-0.0
