Iteration,x_k,f(x_k)
1,1.07548,-6.11592
2,1.25388,-6.08831
3,1.45843,-5.46324
4,1.78656,-2.88782
5,0.86269,-5.61743
6,1.04687,-6.08035
7,1.22401,-6.12446
8,1.42139,-5.62771
9,1.71044,-3.67533
10,-1.48866,5.31119
11,-1.86073,2.00093
12,-0.57626,4.22736
13,-0.8559,5.59319
14,-1.04086,6.07157
15,-1.21782,6.1303
16,-1.41389,5.65815
17,-1.69646,3.80691
18,5.96912,377.61208
19,5.96786,377.35217
20,5.9666,377.09221
21,5.96533,376.83218
22,5.96407,376.5721
23,5.9628,376.31196
24,5.96153,376.05176
25,5.96026,375.7915
26,5.95899,375.53118
27,5.95772,375.2708
28,5.95645,375.01036
29,5.95518,374.74987
30,5.95391,374.48931
31,5.95264,374.22869
32,5.95136,373.96802
33,5.95009,373.70728
34,5.94881,373.44648
35,5.94753,373.18563
36,5.94625,372.92471
37,5.94498,372.66374
38,5.9437,372.4027
39,5.94242,372.14161
40,5.94114,371.88045
41,5.93985,371.61924
42,5.93857,371.35796
43,5.93729,371.09662
44,5.936,370.83523
45,5.93472,370.57377
46,5.93343,370.31225
47,5.93214,370.05067
48,5.93085,369.78903
49,5.92956,369.52733
50,5.92827,369.26557
51,5.92698,369.00375
52,5.92569,368.74186
53,5.9244,368.47992
54,5.92311,368.21791
55,5.92181,367.95585
56,5.92052,367.69372
57,5.91922,367.43153
58,5.91792,367.16928
59,5.91662,366.90697
60,5.91533,366.64459
61,5.91403,366.38216
62,5.91272,366.11966
63,5.91142,365.8571
64,5.91012,365.59448
65,5.90882,365.33179
66,5.90751,365.06905
67,5.90621,364.80624
68,5.9049,364.54337
69,5.90359,364.28044
70,5.90229,364.01745
71,5.90098,363.75439
72,5.89967,363.49127
73,5.89836,363.22809
74,5.89705,362.96484
75,5.89573,362.70154
76,5.89442,362.43817
77,5.8931,362.17473
78,5.89179,361.91124
79,5.89047,361.64768
80,5.88916,361.38406
81,5.88784,361.12037
82,5.88652,360.85662
83,5.8852,360.59281
84,5.88388,360.32894
85,5.88256,360.065
86,5.88123,359.801
87,5.87991,359.53693
88,5.87859,359.2728
89,5.87726,359.00861
90,5.87593,358.74435
91,5.87461,358.48003
92,5.87328,358.21565
93,5.87195,357.9512
94,5.87062,357.68668
95,5.86929,357.42211
96,5.86795,357.15747
97,5.86662,356.89276
98,5.86529,356.62799
99,5.86395,356.36315
100,5.86262,356.09825
101,5.86128,355.83329
102,5.85994,355.56826
103,5.8586,355.30317
104,5.85726,355.03801
105,5.85592,354.77278
106,5.85458,354.50749
107,5.85324,354.24214
108,5.85189,353.97672
109,5.85055,353.71124
110,5.8492,353.44569
111,5.84785,353.18007
112,5.84651,352.91439
113,5.84516,352.64864
114,5.84381,352.38283
115,5.84246,352.11695
116,5.84111,351.851
117,5.83975,351.58499
118,5.8384,351.31892
119,5.83705,351.05277
120,5.83569,350.78656
121,5.83433,350.52029
122,5.83298,350.25395
123,5.83162,349.98754
124,5.83026,349.72106
125,5.8289,349.45452
126,5.82754,349.18791
127,5.82617,348.92124
128,5.82481,348.6545
129,5.82344,348.38769
130,5.82208,348.12081
131,5.82071,347.85387
132,5.81934,347.58686
133,5.81798,347.31978
134,5.81661,347.05263
135,5.81524,346.78542
136,5.81386,346.51814
137,5.81249,346.25079
138,5.81112,345.98338
139,5.80974,345.71589
140,5.80837,345.44834
141,5.80699,345.18072
142,5.80561,344.91303
143,5.80423,344.64528
144,5.80285,344.37745
145,5.80147,344.10956
146,5.80009,343.8416
147,5.79871,343.57357
148,5.79732,343.30547
149,5.79594,343.0373
150,5.79455,342.76907
151,5.79317,342.50076
152,5.79178,342.23239
153,5.79039,341.96395
154,5.789,341.69544
155,5.78761,341.42685
156,5.78621,341.1582
157,5.78482,340.88948
158,5.78343,340.62069
159,5.78203,340.35183
160,5.78063,340.08291
161,5.77924,339.81391
162,5.77784,339.54484
163,5.77644,339.2757
164,5.77504,339.00649
165,5.77363,338.73721
166,5.77223,338.46786
167,5.77083,338.19845
168,5.76942,337.92896
169,5.76801,337.6594
170,5.76661,337.38976
171,5.7652,337.12006
172,5.76379,336.85029
173,5.76238,336.58045
174,5.76097,336.31053
175,5.75955,336.04055
176,5.75814,335.77049
177,5.75672,335.50036
178,5.75531,335.23016
179,5.75389,334.95989
180,5.75247,334.68955
181,5.75105,334.41914
182,5.74963,334.14865
183,5.74821,333.87809
184,5.74679,333.60746
185,5.74536,333.33676
186,5.74394,333.06599
187,5.74251,332.79514
188,5.74108,332.52423
189,5.73966,332.25324
190,5.73823,331.98217
191,5.7368,331.71104
192,5.73536,331.43983
193,5.73393,331.16855
194,5.7325,330.89719
195,5.73106,330.62577
196,5.72963,330.35427
197,5.72819,330.08269
198,5.72675,329.81105
199,5.72531,329.53933
200,5.72387,329.26753
201,5.72243,328.99567
202,5.72098,328.72373
203,5.71954,328.45171
204,5.71809,328.17962
205,5.71665,327.90746
206,5.7152,327.63522
207,5.71375,327.36291
208,5.7123,327.09053
209,5.71085,326.81807
