Iteration,x_k,f(x_k)
1,3.99998,31.9982
2,3.99995,31.99639
3,3.99993,31.99459
4,3.99991,31.99279
5,3.99989,31.99098
6,3.99986,31.98918
7,3.99984,31.98738
8,3.99982,31.98557
9,3.9998,31.98377
10,3.99977,31.98196
11,3.99975,31.98016
12,3.99973,31.97835
13,3.99971,31.97655
14,3.99968,31.97474
15,3.99966,31.97293
16,3.99964,31.97113
17,3.99962,31.96932
18,3.99959,31.96752
19,3.99957,31.96571
20,3.99955,31.9639
21,3.99953,31.9621
22,3.9995,31.96029
23,3.99948,31.95848
24,3.99946,31.95667
25,3.99944,31.95487
26,3.99941,31.95306
27,3.99939,31.95125
28,3.99937,31.94944
29,3.99934,31.94763
30,3.99932,31.94582
31,3.9993,31.94402
32,3.99928,31.94221
33,3.99925,31.9404
34,3.99923,31.93859
35,3.99921,31.93678
36,3.99919,31.93497
37,3.99916,31.93316
38,3.99914,31.93135
39,3.99912,31.92954
40,3.9991,31.92773
41,3.99907,31.92591
42,3.99905,31.9241
43,3.99903,31.92229
44,3.99901,31.92048
45,3.99898,31.91867
46,3.99896,31.91686
47,3.99894,31.91504
48,3.99891,31.91323
49,3.99889,31.91142
50,3.99887,31.90961
51,3.99885,31.90779
52,3.99882,31.90598
53,3.9988,31.90417
54,3.99878,31.90235
55,3.99876,31.90054
56,3.99873,31.89873
57,3.99871,31.89691
58,3.99869,31.8951
59,3.99866,31.89328
60,3.99864,31.89147
61,3.99862,31.88965
62,3.9986,31.88784
63,3.99857,31.88602
64,3.99855,31.88421
65,3.99853,31.88239
66,3.9985,31.88057
67,3.99848,31.87876
68,3.99846,31.87694
69,3.99844,31.87512
70,3.99841,31.87331
71,3.99839,31.87149
72,3.99837,31.86967
73,3.99835,31.86786
74,3.99832,31.86604
75,3.9983,31.86422
76,3.99828,31.8624
77,3.99825,31.86058
78,3.99823,31.85877
79,3.99821,31.85695
80,3.99819,31.85513
81,3.99816,31.85331
82,3.99814,31.85149
83,3.99812,31.84967
84,3.99809,31.84785
85,3.99807,31.84603
86,3.99805,31.84421
87,3.99803,31.84239
88,3.998,31.84057
89,3.99798,31.83875
90,3.99796,31.83693
91,3.99793,31.83511
92,3.99791,31.83329
93,3.99789,31.83146
94,3.99787,31.82964
95,3.99784,31.82782
96,3.99782,31.826
97,3.9978,31.82418
98,3.99777,31.82235
99,3.99775,31.82053
100,3.99773,31.81871
101,3.99771,31.81688
102,3.99768,31.81506
103,3.99766,31.81324
104,3.99764,31.81141
105,3.99761,31.80959
106,3.99759,31.80776
107,3.99757,31.80594
108,3.99755,31.80412
109,3.99752,31.80229
110,3.9975,31.80047
111,3.99748,31.79864
112,3.99745,31.79682
113,3.99743,31.79499
114,3.99741,31.79316
115,3.99738,31.79134
116,3.99736,31.78951
117,3.99734,31.78769
118,3.99732,31.78586
119,3.99729,31.78403
120,3.99727,31.7822
121,3.99725,31.78038
122,3.99722,31.77855
123,3.9972,31.77672
124,3.99718,31.77489
125,3.99716,31.77307
126,3.99713,31.77124
127,3.99711,31.76941
128,3.99709,31.76758
129,3.99706,31.76575
130,3.99704,31.76392
131,3.99702,31.76209
132,3.99699,31.76026
133,3.99697,31.75843
134,3.99695,31.7566
135,3.99693,31.75477
136,3.9969,31.75294
137,3.99688,31.75111
138,3.99686,31.74928
139,3.99683,31.74745
140,3.99681,31.74562
141,3.99679,31.74379
142,3.99676,31.74196
143,3.99674,31.74012
144,3.99672,31.73829
145,3.99669,31.73646
146,3.99667,31.73463
147,3.99665,31.73279
148,3.99663,31.73096
149,3.9966,31.72913
150,3.99658,31.7273
151,3.99656,31.72546
152,3.99653,31.72363
153,3.99651,31.72179
154,3.99649,31.71996
155,3.99646,31.71813
156,3.99644,31.71629
157,3.99642,31.71446
158,3.99639,31.71262
159,3.99637,31.71079
160,3.99635,31.70895
161,3.99633,31.70712
162,3.9963,31.70528
163,3.99628,31.70344
164,3.99626,31.70161
165,3.99623,31.69977
166,3.99621,31.69793
167,3.99619,31.6961
168,3.99616,31.69426
169,3.99614,31.69242
170,3.99612,31.69059
171,3.99609,31.68875
172,3.99607,31.68691
173,3.99605,31.68507
174,3.99602,31.68323
175,3.996,31.68139
176,3.99598,31.67956
177,3.99596,31.67772
178,3.99593,31.67588
179,3.99591,31.67404
180,3.99589,31.6722
181,3.99586,31.67036
182,3.99584,31.66852
183,3.99582,31.66668
184,3.99579,31.66484
185,3.99577,31.663
186,3.99575,31.66116
187,3.99572,31.65932
188,3.9957,31.65747
189,3.99568,31.65563
190,3.99565,31.65379
191,3.99563,31.65195
192,3.99561,31.65011
193,3.99558,31.64827
194,3.99556,31.64642
195,3.99554,31.64458
196,3.99551,31.64274
197,3.99549,31.64089
198,3.99547,31.63905
199,3.99544,31.63721
200,3.99542,31.63536
201,3.9954,31.63352
202,3.99537,31.63168
203,3.99535,31.62983
204,3.99533,31.62799
205,3.9953,31.62614
206,3.99528,31.6243
207,3.99526,31.62245
208,3.99523,31.62061
209,3.99521,31.61876
210,3.99519,31.61691
211,3.99517,31.61507
212,3.99514,31.61322
213,3.99512,31.61137
214,3.9951,31.60953
215,3.99507,31.60768
216,3.99505,31.60583
217,3.99503,31.60399
218,3.995,31.60214
219,3.99498,31.60029
220,3.99496,31.59844
221,3.99493,31.5966
222,3.99491,31.59475
223,3.99489,31.5929
224,3.99486,31.59105
225,3.99484,31.5892
226,3.99482,31.58735
227,3.99479,31.5855
228,3.99477,31.58365
229,3.99474,31.5818
230,3.99472,31.57995
231,3.9947,31.5781
232,3.99467,31.57625
233,3.99465,31.5744
234,3.99463,31.57255
235,3.9946,31.5707
236,3.99458,31.56885
237,3.99456,31.56699
238,3.99453,31.56514
239,3.99451,31.56329
240,3.99449,31.56144
241,3.99446,31.55959
242,3.99444,31.55773
243,3.99442,31.55588
244,3.99439,31.55403
245,3.99437,31.55217
246,3.99435,31.55032
247,3.99432,31.54847
248,3.9943,31.54661
249,3.99428,31.54476
250,3.99425,31.5429
251,3.99423,31.54105
252,3.99421,31.53919
253,3.99418,31.53734
254,3.99416,31.53548
